Model,Type,Experiment,Dim,Embed Time (s),Total Time (s),Model RAM (MB),VRAM (MB),Avg Prec@5,Avg Recall@5,Avg Sim@5,Avg MRR@5,Avg nDCG@5,Overall Quality
bge-base,general,A,768,11.6,11.8,18.0,244.0,0.912,0.402,0.7375,0.481,0.991,0.7948
S-PubMedBERT,medical,A,768,12.2,12.3,25.0,238.0,0.904,0.399,0.9394,0.487,0.991,0.7937
bge-small,general,A,384,7.8,8.0,35.0,79.0,0.864,0.381,0.7659,0.498,0.99,0.7837
e5-large,general,A,1024,26.1,26.4,21.0,680.0,0.88,0.388,0.8623,0.487,0.984,0.7833
GTE-Large,general,A,1024,26.5,26.8,15.0,680.0,0.856,0.376,0.8738,0.498,0.985,0.7797
MedEmbed-L,medical,A,1024,30.6,30.9,21.0,680.0,0.904,0.399,0.7342,0.464,0.968,0.7785
MiniLM-L6,general,A,384,5.9,6.0,654.0,56.0,0.856,0.379,0.6072,0.493,0.979,0.776
Snowflake-M,general,A,768,11.7,11.9,11.0,242.0,0.88,0.392,0.4874,0.468,0.965,0.771
PubMedBERT,medical,A,768,12.0,12.2,10.0,238.0,0.832,0.362,0.6535,0.503,0.972,0.769
